trial_id,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,turns_per_block,speed_factor,headway_arrival_min,corner_delay_per_turn_min,service_time_min,arrival_rate_blocks_per_min,service_rate_blocks_per_min,utilization,per_ramp_capacity_blocks_per_hour,total_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,mc_settings
17,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0272923935079175,4.270185574419411,0.0,3.8937307676747355,0.2341818599150608,0.25682309837697936,0.9118411131825671,15.409385902618762,184.91263083142513,0.20111083170199553,0.9118411131825671,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
18,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.7819086280520877,4.584651297681823,0.0,5.115687251034574,0.218119096757836,0.19547715701302193,1.1158290824912385,11.728629420781315,140.74355304937578,11.158290824912383,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
19,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.163815585996291,3.530878125449848,0.0,3.436970640478042,0.28321566603848614,0.2909538964990728,0.9734039290977109,17.457233789944368,209.48680547933242,0.759682160218434,0.9734039290977109,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
20,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0658321995610325,4.45015600627738,0.0,3.7529359702656917,0.22471122328956608,0.2664580498902581,0.8433268328058182,15.987482993415487,191.84979592098585,0.09679667399719209,0.8433268328058182,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
21,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.129043870042687,3.3397903580603607,0.0,3.5428207053183574,0.29941999131369634,0.28226096751067176,1.060791344812406,16.935658050640306,203.22789660768368,10.60791344812406,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
22,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9272629840649342,3.5695005496675805,0.0,4.313770816629394,0.2801512385516029,0.23181574601623353,1.2085082371064844,13.908944760974013,166.90733713168817,12.085082371064843,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
23,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.2353490121974517,3.623644061768415,0.0,3.237951348570521,0.2759652943153525,0.30883725304936294,0.8935621968870564,18.530235182961775,222.3628221955413,0.15996202466306433,0.8935621968870564,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
24,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1965605606610987,4.992869981128447,0.0,3.3429147938738706,0.20028560803299517,0.2991401401652747,0.6695377220935229,17.948408409916482,215.38090091899778,0.028926202938144203,0.6695377220935229,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
25,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.139191748536881,3.4291445904359144,0.0,3.511261387854497,0.2916179162549922,0.28479793713422025,1.0239467293527404,17.087876228053215,205.05451473663857,10.239467293527404,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
26,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8473193539259838,3.25841492926717,0.0,4.720770252049989,0.3068976854414621,0.21182983848149595,1.4487934638550493,12.709790308889756,152.51748370667707,14.487934638550492,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
27,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9833605018635171,4.8513828749628205,0.0,4.0676842240661495,0.20612679431277905,0.24584012546587927,0.8384587093834195,14.750407527952756,177.00489033543306,0.09279894359838943,0.8384587093834195,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
28,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.7719018828936144,3.3238613876407053,0.0,5.182005755712466,0.30085490439473633,0.1929754707234036,1.5590318462078474,11.578528243404216,138.9423389208506,15.590318462078475,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
