Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
8;1196;7,50;43,17;902,31;1142,667;1105,337;37,330;463973900,000;278056500,000;186075400,000;20268,610;574,008;20842,740;95;95,27;94,52
0;1136;7,60;0,00;907,64;1085,487;1049,219;36,268;927822000,000;555887800,000;372150700,000;19294,780;561,224;19855,730
1;1076;7,10;5,70;913,34;1024,859;994,614;30,245;927822000,000;555887800,000;372150700,000;18101,100;468,691;18569,930;94;94,41;94,20
2;1016;7,17;11,29;918,93;966,531;940,992;25,539;927822000,000;555887800,000;372150700,000;17146,330;396,572;17543,020;94;94,31;94,03
3;959;7,18;16,90;924,54;910,640;888,488;22,152;927822000,000;555920100,000;372150700,000;16195,000;344,633;16539,840;94;94,22;93,85
4;903;7,19;22,51;930,15;915,069;893,864;21,205;927822000,000;555952300,000;372150700,000;16296,080;321,272;16617,250;94;100,49;100,00
5;849;7,20;28,11;935,75;862,454;842,175;20,278;927822000,000;555982500,000;372150700,000;15354,840;307,009;15661,980;94;94,25;93,65
6;797;7,20;33,72;941,36;812,059;791,692;20,367;927822000,000;556010800,000;372150700,000;14435,170;308,470;14743,670;93;94,16;93,44
0;746;7,60;0,00;946,91;761,914;742,382;19,532;1855644000,000;1111899000,000;744301400,000;13651,700;299,333;13951,000
1;700;7,50;5,39;952,30;710,033;694,232;15,801;1855644000,000;1111899000,000;744301400,000;12731,480;242,731;12974,160;93;93,19;92,98
2;655;7,57;10,69;957,59;660,411;647,329;13,082;1855644000,000;1111899000,000;744301400,000;11886,870;201,236;12088,070;93;93,01;92,73
3;612;7,59;15,99;962,90;613,112;601,811;11,302;1855644000,000;1111899000,000;744301400,000;11054,770;174,347;11229,180;93;92,84;92,46
4;570;7,60;21,29;968,20;568,079;557,680;10,399;1855644000,000;1111899000,000;744301400,000;10245,880;160,935;10406,870;93;92,66;92,16
