Row;blocks;ramp inclination;Ramp length (m);Ramp length total (m);distance blocks (Km);distance blocks Ramp (Km);distance blocks Horiz (Km);Sum force blocks (GJ);Sum Vert, force blocks (GJ);Sum Horiz, force blocks (GJ);Vert, force blocks row (GJ);Horiz, force blocks row (GJ);Total force blocks row (GJ);% Decrement blocks;% increase Distance;% increase Force
10;11105;3,83;106,13;890,93;10940,04;10011,05;928,986;48780720;31075000;17584960;170357;14390,26;184755,8;98;99,39;98,14
11;10918;3,83;116,74;901,54;10881,48;9939,956;941,523;48965680;31236850;17600160;169145,6;14594,4;183751,8;98;99,46;98,12
12;10732;3,83;127,35;912,15;10830,24;9865,072;965,166;49147150;31395630;17616370;167889,7;14954,73;182858,8;98;99,53;98,1
13;10549;3,56;148,52;933,32;10897,35;9901,782;995,571;49325140;31573620;17633070;167542,7;15455,14;182974,6;98;100,62;98,09
0;10367;4,2;0;933,32;10726,22;9710,517;1015,702;96089560;60910070;35047330;166607,8;15797,6;182413,1;;;
1;10193;3,94;10,32;943,65;10559,93;9626,146;933,789;96260700;61081210;35063140;164194,7;14534,26;178740,3;98;98,45;98,05
2;10022;3,95;20,58;953,91;10603,55;9731,531;872,017;96431850;61252360;35077820;166028,9;13507,39;179540;98;100,41;100
3;9851;3,95;30,85;964,18;10451,51;9640,88;810,628;96599620;61420130;35091400;164509,2;12541,95;177065,5;98;98,57;98,03
4;9683;3,95;41,12;974,45;10307,7;9550,414;757,287;96764060;61584560;35103950;162984,3;11736,33;174708,3;98;98,62;98,01
5;9515;3,95;51,39;984,72;10172,18;9456,695;715,488;96925180;61745690;35115530;161380,2;11091,77;172473,9;98;98,69;97,99
6;9349;3,95;61,66;994,99;10044,92;9361,951;682,969;97083040;61903550;35126240;159759,6;10607,61;170364,2;98;98,75;97,97
7;9185;3,95;71,93;1005,26;9925,819;9265,21;660,609;97237660;62058170;35136480;158092;10281,3;168377,3;98;98,81;97,95
8;9022;3,95;82,2;1015,53;9814,571;9165,286;649,285;97389070;62209580;35146860;156392,9;10108,64;166510,6;98;98,88;97,93
9;8860;3,95;92,47;1025,8;9917,757;9258,688;659,069;97540490;62361000;35157580;157981,7;10185,32;168170,2;98;101,05;100
Total Spiral;1985060;;;1025,8;1046596,264;804122,247;242474,071;2333681042,84;1457688821,871;873476798,34;13718238,381;3764694,11;17482864,65;;;
