mu,theta_deg,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,n_trials,S_mu_theta,total_capacity_blocks_per_hour_median,total_capacity_blocks_per_hour_ci_lower,total_capacity_blocks_per_hour_ci_upper,per_ramp_capacity_blocks_per_hour_median,per_ramp_capacity_blocks_per_hour_ci_lower,per_ramp_capacity_blocks_per_hour_ci_upper,utilization_median,utilization_ci_lower,utilization_ci_upper,mean_corner_queue_length_median,mean_corner_queue_length_ci_lower,mean_corner_queue_length_ci_upper,waiting_probability_median,waiting_probability_ci_lower,waiting_probability_ci_upper,blocking_probability_median,blocking_probability_ci_lower,blocking_probability_ci_upper,service_time_min_median,service_time_min_ci_lower,service_time_min_ci_upper,headway_arrival_min_median,headway_arrival_min_ci_lower,headway_arrival_min_ci_upper
0.15,7,1,Phase 1,16 straight edge-ramps,12,4,10000,0.8234147794470601,168.21938695320728,138.57875835274984,229.06929615053537,14.018282246100606,11.548229862729153,19.089108012544614,0.734494446477171,0.5047119223190328,0.995,1.015952569592295,0.2571575372579655,110.0949175745715,0.734494446477171,0.5047119223190328,0.995,0.0,0.0,0.29000000000000004,2.870965162417861,2.3288300637572417,3.782497052134747,3.996602982832421,3.0514003429035563,4.951704245748538
0.15,7,2,Phase 2,8 straight edge-ramps,6,2,10000,0.8234147794470601,82.91811448448898,66.84530947233188,112.97609582122384,13.81968574741483,11.140884912055311,18.829349303537306,0.7557418713900048,0.5208166457450246,0.995,1.169143950610956,0.2830336078058272,113.32502737624924,0.7557418713900048,0.5208166457450246,0.995,0.0,0.0,0.29000000000000004,2.9653685228591318,2.396063486567096,3.889598962358295,4.001123283976299,3.051098741740821,4.947355315118351
0.15,7,3a,Phase 3a,4 helical edge-ramps,3,1,10000,0.8234147794470601,21.067083750583596,13.910963093262248,30.36841314883956,7.022361250194532,4.636987697754083,10.12280438294652,0.995,0.9857811837209716,0.995,152.96741101550867,34.17268799166142,252.36427879602314,0.995,0.9857811837209716,0.995,0.29000000000000004,0.2715623674419431,0.29000000000000004,6.066335594899671,4.343324803267803,9.186998785600462,3.9943754799125037,3.0475231156120692,4.947522944009457
0.15,7,3b,Phase 3b,2 helical edge-ramps,2,0,10000,0.8234147794470601,13.834826827040764,9.248903420455724,19.626707143278868,6.917413413520382,4.624451710227862,9.813353571639434,0.995,0.995,0.995,155.38470934465448,100.71713438092593,252.72325197796806,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,6.158371265899364,4.425591825376717,9.211902916436037,3.9887940137676328,3.046055588260179,4.944567154168854
0.15,7,3c,Phase 3c,1 helical edge-ramp,1,0,10000,0.8234147794470601,4.679774505727535,2.831092076977698,7.032847007117681,4.679774505727535,2.831092076977698,7.032847007117681,0.995,0.995,0.995,229.644394637678,139.0767587014255,402.911097329412,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,9.103002713528625,6.057290934518029,15.047197317802906,4.000521141529004,3.0511998170437318,4.9533247740149395
0.15,8,1,Phase 1,16 straight edge-ramps,12,4,10000,0.8750001287602994,163.732181878808,129.431970153652,223.70438314183207,13.644348489900668,10.785997512804334,18.64203192848601,0.780509108268404,0.5363311517344526,0.995,1.3877443261664006,0.3101902418710493,116.992152021238,0.780509108268404,0.5363311517344526,0.995,0.0,0.0,0.29000000000000004,3.0508255978461856,2.4747267798822095,4.01946320404387,3.996602982832421,3.0514003429035563,4.951704245748538
0.15,8,2,Phase 2,8 straight edge-ramps,6,2,10000,0.8750001287602994,80.42818342664854,62.432674313336264,110.37452814568609,13.404697237774759,10.405445718889377,18.395754690947683,0.8030876434108494,0.5534448050512593,0.995,1.6376571341650346,0.3429600270218526,120.42462197796608,0.8030876434108494,0.5534448050512593,0.995,0.0,0.0,0.29000000000000004,3.1511431469154245,2.5461722470805555,4.1332748425707,4.001123283976299,3.051098741740821,4.947355315118351
0.15,8,3a,Phase 3a,4 helical edge-ramps,3,1,10000,0.8750001287602994,20.385800120802156,13.590802806678353,28.72960876586871,6.795266706934052,4.530267602226118,9.57653625528957,0.995,0.995,0.995,158.03850909311168,101.77460194994019,258.7191020768349,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,6.269069616376591,4.5098831637189205,9.403418472103954,3.9943754799125037,3.0475231156120692,4.947522944009457
0.15,8,3b,Phase 3b,2 helical edge-ramps,2,0,10000,0.8750001287602994,13.375148919505577,9.024407535980856,18.642399745873508,6.687574459752788,4.512203767990428,9.321199872936754,0.995,0.995,0.995,160.49583437339322,104.64339671272353,259.2157521269459,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,6.370022537065151,4.602292084931163,9.441063036794258,3.9887940137676328,3.046055588260179,4.944567154168854
0.15,8,3c,Phase 3c,1 helical edge-ramp,1,0,10000,0.8750001287602994,4.569628677101364,2.7889813501893705,6.8220560094147595,4.569628677101364,2.7889813501893705,6.8220560094147595,0.995,0.995,0.995,235.0839103730489,143.41954036250968,409.6834778789106,0.995,0.995,0.995,0.29000000000000004,0.29000000000000004,0.29000000000000004,9.322420504173621,6.244451816342564,15.274393999752082,4.000521141529004,3.0511998170437318,4.9533247740149395
