scenario,duration_years
baseline,12.592731470127566
baseline,11.4723931009212
baseline,12.147124858314163
baseline,11.9376174302629
baseline,12.135847337389434
baseline,11.479232346395102
baseline,11.06603025228367
baseline,10.809753380924105
baseline,11.32225168778576
baseline,11.68968615988647
baseline,11.78386422095214
baseline,13.129581924032735
baseline,12.610909907243679
baseline,11.407815686997154
baseline,12.155746919407463
baseline,11.718968961386398
baseline,11.78890954096091
baseline,12.060444485302309
baseline,12.31676296488159
baseline,11.757570826955423
baseline,12.58517011568545
baseline,11.308781971975927
baseline,11.956267768650747
baseline,13.556932034254077
baseline,12.082535084972521
baseline,12.812582938923034
baseline,12.005732919028992
baseline,12.293860247761174
baseline,11.919731041030047
baseline,11.854234235263826
baseline,11.509262504072257
baseline,12.20451092668255
baseline,11.46912512668995
baseline,12.344507113225811
baseline,12.598256068028025
baseline,12.166842985533988
baseline,11.787832084967745
baseline,12.218518841648228
baseline,11.775021344161027
baseline,12.507127955939898
baseline,10.937067571086045
baseline,11.759652603689423
baseline,10.852890553203743
baseline,11.116841467539178
baseline,12.76957062371211
baseline,12.482678137267943
baseline,11.542793853209556
baseline,11.112831464613192
baseline,10.352665669953133
baseline,11.641708049436028
baseline,13.440879576499627
baseline,12.207222496731175
baseline,11.632636650450936
baseline,12.225103670520014
baseline,11.081387166740239
baseline,11.781503534372986
baseline,12.010364264646087
baseline,11.902796754765287
baseline,12.4196721212571
baseline,12.153942121466596
baseline,12.346147385889466
baseline,11.560216734607868
baseline,12.484270082241528
baseline,12.934757409416221
baseline,11.403359679437639
baseline,11.44903649667376
baseline,12.752198017803137
baseline,11.842205344548319
baseline,12.794335556445489
baseline,11.698837913494046
baseline,12.826152702137076
baseline,12.029012085814587
baseline,12.103138026917302
baseline,12.89454189609565
baseline,11.74474322309683
baseline,11.419419010138023
baseline,11.695418683622762
baseline,12.217552488525493
baseline,11.078808724054758
baseline,12.32769420832731
baseline,11.644375048371197
baseline,12.636505023517051
baseline,10.642743127740085
baseline,11.505310529125701
baseline,11.014174433112167
baseline,11.483206470093792
baseline,12.096942766151477
