trial_id,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,turns_per_block,speed_factor,headway_arrival_min,corner_delay_per_turn_min,service_time_min,arrival_rate_blocks_per_min,service_rate_blocks_per_min,utilization,per_ramp_capacity_blocks_per_hour,total_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,mc_settings
9709,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.9184578583737961,3.7447003683524573,2.3081532212347624,6.5544013908625605,0.26704406271094167,0.15256923407133596,0.995,6.499449371438912,12.998898742877824,174.15624061739126,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9710,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1468777670995196,3.0296317923553806,4.767953761176168,8.168490515727779,0.3300731140078749,0.1224216393560817,0.995,5.21516183656908,10.43032367313816,268.2718105763708,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9711,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.7644158740167302,4.081488083155965,3.363565067324853,8.465499933625972,0.24500867811593882,0.11812651442212894,0.995,5.032189514382693,10.064379028765385,206.37503435866242,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9712,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.8775175344458116,4.267443549066873,1.9380207438322823,6.382376379942745,0.2343323323441881,0.15668145224756722,0.995,6.674629865746363,13.349259731492726,148.81191572953858,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9713,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.2123898270627347,3.9969297524764658,2.290899551707766,5.507686688109724,0.2501920378711705,0.181564431063018,0.995,7.7346447632845665,15.469289526569133,137.1089459671818,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9714,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.1199152292511134,3.9705478386567297,2.3373611705958837,5.819767604704229,0.25185441421058624,0.17182816702022277,0.995,7.31987991506149,14.63975983012298,145.84054901199062,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9715,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.8417677953242777,3.791085646410357,3.859108975832338,8.4922156611476,0.2637766838496155,0.11775489929854942,0.995,5.016358710118205,10.03271742023641,222.88482432051157,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9716,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.0716178019698688,3.031083620185476,2.8982476799689625,6.537604914265503,0.32991501565331566,0.15296121639561475,0.995,6.516147818453188,13.032295636906376,214.60697574869693,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9717,3b,Phase 3b,2 helical edge-ramps,2,0,1,0.9513837701821756,4.464159546718532,2.2762603914674218,6.3755525196621345,0.224006330762768,0.1568491510211877,0.995,6.681773833502596,13.363547667005191,142.10233058822595,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
9718,3b,Phase 3b,2 helical edge-ramps,2,0,1,1.2017640244269177,3.899256166592372,1.9256871284569257,5.1709165751112165,0.256459169973928,0.19338931221850006,0.995,8.238384700508101,16.476769401016202,131.94983279931606,0.995,0.29000000000000004,"Khafre/G2; μ=0.2; θr=7.5°; θ0=7.5°; ±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35); hauling term scaled by S(mu,θ)"
